gender,age
Female,8
Male,71
Female,74
Female,7
Male,19
Male,64
Female,23
Male,75
Male,80
Male,40
Female,24
Female,74
Female,52
Male,54
Female,23
Male,19
Female,23
Male,13
Female,51
Male,60
Male,79
Female,75
Female,69
Female,57
Female,47
Female,33
Female,51
Female,47
Male,15
Male,1
Female,20
Male,6
Male,50
Male,31
Female,15
Female,3
Male,30
Male,17
Male,24
Female,5
Male,33
Female,30
Male,66
Male,40
Female,27
Male,21
Female,55
Female,19
Male,75
Female,71
Female,16
Female,49
Female,10
Female,37
Male,59
Female,7
Female,61
Male,34
Female,9
Female,46
Male,0.88
Male,50
Male,19
Female,21
Female,2
Female,37
Male,20
Male,50
Male,61
Male,48
Male,82
Male,64
Female,50
Male,1.4
Male,0.24
Male,55
Female,29
Male,4
Male,70
Male,35
Female,80
Female,54
Male,39
Female,26
Female,6
Female,41
Female,42
Male,9
Male,55
Male,71
Female,14
Female,77
Female,50
Male,49
Female,51
Male,79
Female,63
Female,66
Female,20
Female,37
Male,22
Female,60
Male,39
Female,53
Female,55
Female,63
Female,57
Male,82
Male,56
Male,41
Female,8
Male,34
Male,75
Male,57
Female,72
Male,21
Female,51
Female,15
Female,24
Female,30
Female,82
Female,62
Female,79
Female,19
Male,45
Female,5
Male,57
Female,31
Male,61
Male,27
Female,61
Female,53
Female,76
Male,57
Male,9
Female,34
Male,51
Male,61
Female,19
Female,50
Female,80
Female,13
Male,55
Male,67
Female,30
Male,67
Female,82
Male,5
Female,81
Female,48
Female,66
Female,38
Male,8
Male,47
Male,27
Female,53
Male,27
Female,36
Female,50
Female,32
Female,58
Female,73
Female,62
Female,50
Female,51
Female,19
Female,30
Female,45
Male,30
Female,28
Male,70
Female,0.32
Female,23
Male,18
Male,41
Male,52
Female,77
Male,34
Female,67
Male,1.64
Female,23
Female,59
Male,62
Male,47
Female,71
Female,22
Male,33
Female,27
Female,44
Female,18
Male,47
Female,66
Female,42
Male,13
Female,56
Female,69
Female,65
Male,53
Female,36
Female,69
Male,19
Male,3
Male,15
Female,59
Female,61
Female,28
Male,52
Female,33
Male,80
Female,47
Male,2
Female,48
Male,1.56
Female,26
Male,62
Male,1.72
Female,38
Female,28
Female,67
Male,57
Female,40
Male,10
Female,55
Female,7
Male,56
Male,37
Male,69
Female,45
Female,28
Female,52
Male,46
Male,45
Female,21
Male,4
Female,45
Female,71
Female,46
Female,3
Female,79
Female,71
Male,74
Female,52
Female,49
Female,32
Male,62
Female,78
Female,48
Male,18
Female,80
Female,34
Female,40
Female,59
Female,11
Female,35
Female,29
Male,23
Female,59
Female,44
Female,62
Female,32
Female,2
Male,73
Female,79
Female,2
Male,43
Male,43
Male,62
Male,73
Female,31
Male,42
Female,20
Female,55
Female,3
Female,23
Female,33
Female,14
Female,79
Male,64
Female,76
Male,46
Male,80
Male,21
Female,33
Female,32
Female,0.72
Female,49
Female,41
Male,37
Female,58
Female,79
Female,23
Female,78
Male,51
Female,41
Male,68
Female,30
Male,1.88
Female,32
Female,20
Male,20
Male,10
Male,8
Male,65
Female,65
Male,46
Male,53
Female,79
Male,43
Female,56
Male,3
Male,32
Female,41
Male,53
Male,35
Male,67
Female,33
Female,21
Female,26
Female,69
Female,73
Male,15
Female,3
Female,1.24
Female,80
Male,2
Male,50
Female,30
Male,15
Female,71
Male,4
Male,2
Male,11
Female,45
Male,22
Male,63
Female,50
Female,25
Male,49
Male,39
Female,43
Male,67
Male,48
Female,38
Female,14
Male,63
Male,37
Male,20
Female,60
Female,13
Male,34
Male,22
Female,46
Male,53
Female,28
Female,62
Female,6
Female,11
Male,66
Female,80
Male,8
Male,53
Male,63
Male,31
Male,43
Male,79
Male,8
Male,38
Female,80
Female,49
Female,50
Male,13
Male,46
Male,73
Male,60
Male,44
Female,79
Female,5
Female,51
Female,71
Male,5
Female,65
Female,81
Female,46
Male,44
Female,54
Female,25
Male,49
Male,80
Female,22
Female,61
Female,3
Male,50
Male,45
Male,55
Female,21
Male,0.8
Male,50
Male,73
Female,58
Male,30
Female,55
Male,57
Female,80
Female,77
Female,29
Female,46
Female,40
Male,29
Female,37
Female,35
Male,54
Female,56
Female,26
Female,75
Female,44
Male,63
Female,17
Male,46
Female,47
Female,50
Female,49
Male,76
Male,47
Female,47
Male,49
Male,71
Female,65
Female,40
Female,82
Female,64
Male,72
Female,50
Female,40
Female,74
Female,30
Male,68
Male,6
Male,4
Female,60
Female,59
Female,72
Female,62
Female,13
Male,72
Male,1.08
Male,35
Male,54
Male,40
Female,3
Male,2
Male,41
Female,61
Male,58
Male,17
Female,64
Female,32
Female,42
Male,39
Female,10
Female,78
Female,68
Female,24
Male,59
Female,45
Male,12
Female,37
Female,43
Male,12
Male,13
Male,74
Female,2
Female,59
Female,21
Female,55
Female,14
Female,53
Male,75
Male,37
Female,49
Male,55
Male,57
Female,45
Male,46
Female,12
Male,12
Female,77
Male,6
Male,76
Female,52
Male,62
Male,82
Male,69
Male,78
Male,37
Female,50
Female,41
Male,54
Male,43
Female,37
Male,9
Female,11
Male,56
Female,5
Female,17
Female,6
Male,25
Female,57
Male,18
Male,2
Female,76
Male,1
Male,54
Female,45
Female,54
Male,67
Male,53
Male,47
Male,44
Male,65
Female,40
Female,3
Male,81
Female,24
Male,9
Female,52
Female,63
Female,78
Female,22
Female,2
Female,79
Female,49
Female,74
Male,62
Male,16
Male,62
Male,27
Female,50
Female,49
Male,24
Female,21
Male,17
Female,22
Male,13
Female,21
Male,51
Male,8
Male,48
Female,16
Male,18
Male,7
Male,68
Male,49
Female,80
Male,31
Female,25
Female,39
Male,35
Female,71
Female,71
Female,40
Female,41
Male,2
Female,3
Male,53
Male,1.88
Male,60
Female,5
Female,30
Female,49
Male,68
Female,23
Male,2
Male,24
Female,41
Female,63
Male,64
Male,38
Female,1.24
Female,38
Female,43
Female,27
Female,61
Male,42
Male,46
Male,67
Female,34
Male,51
Female,77
Female,30
Female,81
Female,12
Male,18
Female,35
Female,82
Male,53
Male,75
Female,32
Female,27
Male,56
Male,71
Male,78
Female,44
Male,62
Male,27
Female,42
Female,66
Female,25
Female,82
Female,49
Female,77
Female,59
Female,54
Female,38
Female,55
Female,13
Female,45
Female,54
Male,30
Female,51
Female,47
Male,25
Male,61
Female,55
Female,23
Male,71
Male,59
Male,4
Male,65
Female,50
Male,42
Male,51
Male,66
Female,22
Male,5
Male,19
Female,47
Male,12
Female,53
Female,26
Male,62
Female,81
Male,63
Female,25
Male,8
Male,76
Female,44
Female,65
Female,54
Female,24
Female,65
Male,12
Female,33
Female,74
Female,18
Female,77
Male,48
Male,52
Male,23
Male,25
Female,44
Female,78
Female,37
Female,32
Male,67
Female,41
Male,2
Female,75
Female,17
Female,13
Female,25
Female,57
Male,31
Male,61
Male,46
Male,47
Female,15
Male,47
Female,68
Male,0.4
Female,40
Female,62
Female,45
Female,47
Female,35
Male,51
Male,60
Male,59
Female,1.24
Female,18
Female,81
Male,15
Female,73
Female,0.08
Male,53
Male,45
Male,70
Male,56
Female,7
Female,66
Female,53
Female,20
Female,15
Male,51
Male,34
Female,33
Female,53
Male,69
Female,28
Female,81
Female,20
Female,1.48
Male,2
Male,77
Female,38
Male,23
Female,67
Male,59
Female,41
Male,76
Female,21
Male,41
Male,54
Female,29
Female,25
Female,48
Female,6
Male,21
Female,32
Female,57
Female,64
Male,70
Male,44
Female,60
Female,56
Male,53
Male,59
Female,53
Male,63
Female,42
Female,63
Female,52
Female,62
Female,68
Female,36
Female,3
Female,40
Female,8
Male,58
Male,45
Female,65
Female,28
Female,40
Female,65
Male,58
Male,44
Female,54
Female,79
Female,62
Male,37
Male,66
Male,63
Female,27
Male,6
Female,30
Female,15
Female,50
Female,32
Female,33
Male,62
Male,82
Female,71
Female,20
Female,44
Male,57
Female,50
Male,50
Female,44
Female,47
Male,35
Male,8
Male,3
Female,29
Male,36
Female,19
Female,41
Female,23
Male,14
Male,35
Male,45
Female,52
Male,19
Female,21
Male,8
Female,35
Female,33
Female,53
Male,59
Male,34
Female,31
Female,43
Female,61
Female,57
Male,11
Male,36
Female,16
Female,60
Male,13
Female,69
Male,69
Female,22
Male,63
Female,45
Male,58
Male,61
Female,30
Female,78
Female,68
Female,16
Female,38
Female,39
Female,51
Male,37
Male,16
Male,39
Male,24
Male,51
Female,50
Female,27
Female,73
Female,65
Female,76
Male,66
Female,53
Female,65
Female,48
Male,31
Male,1.72
Female,45
Male,56
Male,62
Female,35
Male,16
Female,31
Male,5
Male,26
Male,10
Female,22
Female,82
Female,50
Female,47
Male,31
Male,22
Female,12
Female,63
Female,78
Male,4
Male,76
Male,32
Female,81
Female,39
Female,59
Male,2
Female,37
Female,78
Female,75
Male,34
Female,48
Female,13
Male,54
Male,13
Female,24
Female,76
Male,1
Male,57
Male,46
Female,26
Female,56
Male,34
Male,25
Male,60
Male,22
Male,35
Male,48
Female,38
Female,12
Female,22
Female,0.64
Male,13
Female,78
Female,23
Female,35
Female,78
Male,50
Male,61
Male,60
Male,43
Male,60
Female,51
Female,21
Male,16
Female,25
Female,36
Female,8
Female,48
Male,14
Female,60
Male,61
Female,60
Male,56
Female,9
Female,45
Male,14
Male,37
Female,52
Female,30
Female,60
Female,47
Female,82
Male,64
Male,12
Female,79
Male,77
Female,25
Female,26
Male,14
Female,42
Male,37
Male,8
Female,78
Male,18
Male,78
Female,55
Female,68
Female,47
Female,47
Female,51
Male,43
Female,78
Male,63
Female,45
Female,53
Female,12
Female,56
Female,29
Male,10
Female,55
Female,49
Female,23
Female,53
Male,56
Female,56
Female,61
Female,45
Male,80
Female,47
Female,3
Male,63
Female,68
Female,76
Male,62
Female,30
Female,44
Male,47
Male,25
Female,31
Male,71
Female,32
Male,72
Female,44
Male,63
Female,37
Male,54
Male,20
Male,56
Female,25
Female,19
Male,62
Female,27
Male,5
Female,20
Male,21
Male,44
Male,39
Male,38
Male,77
Female,26
Male,51
Male,39
Female,5
Female,59
Male,67
Female,45
Male,43
Female,80
Male,42
Female,8
Female,68
Female,5
Male,57
Male,44
Male,16
Female,60
Female,58
Female,43
Female,50
Female,1.48
Female,5
Male,9
Female,67
Female,21
Female,36
Female,70
Male,57
Female,52
Female,28
Female,41
Male,81
Female,33
Female,31
Female,42
Male,10
Male,34
Female,70
Male,33
Female,58
Female,25
Female,1.4
Female,47
Female,14
Female,82
Male,52
Male,72
Male,52
Female,61
Female,15
Female,1.56
Male,6
Male,3
Male,18
Female,53
Male,58
Female,31
Female,29
Female,5
Male,40
Male,75
Male,52
Male,39
Female,40
Female,78
Female,39
Female,17
Male,45
Male,0.56
Female,13
Male,26
Female,42
Male,44
Female,3
Female,42
Male,25
Female,41
Male,51
Female,20
Female,25
Male,18
Female,37
Female,51
Male,2
Female,38
Male,64
Female,60
Male,22
Male,71
Female,32
Female,32
Female,63
Male,0.24
Male,54
Female,25
Female,80
Female,31
Male,53
Male,35
Male,31
Male,60
Male,0.56
Female,21
Female,78
Male,59
Male,0.64
Male,10
Male,60
Male,11
Male,48
Female,50
Male,69
Female,20
Female,22
Male,55
Female,57
Female,29
Female,32
Female,54
Male,37
Female,58
Female,41
Male,72
Male,0.48
Female,32
Female,54
Female,79
Male,56
Female,45
Male,6
Female,45
Male,60
Female,65
Female,57
Male,58
Male,8
Male,18
Male,49
Male,2
Female,52
Female,63
Female,57
Female,50
Male,12
Female,35
Female,35
Male,64
Female,42
Female,62
Female,3
Female,43
Female,52
Male,64
Male,59
Female,81
Female,15
Male,50
Male,73
Male,19
Female,30
Female,40
Female,47
Female,66
Male,47
Female,41
Female,63
Female,12
Male,1.32
Female,46
Female,8
Male,74
Male,74
Female,4
Female,26
Male,63
Female,48
Female,24
Male,47
Male,70
Male,41
Female,42
Female,57
Female,51
Male,15
Male,11
Female,27
Female,53
Female,52
Female,68
Male,65
Female,23
Female,43
Male,55
Female,52
Female,21
Male,78
Male,35
Female,49
Male,50
Female,27
Female,52
Female,22
Female,19
Male,77
Male,57
Male,13
Male,14
Female,29
Female,49
Male,1.24
Male,21
Male,36
Male,42
Female,56
Male,46
Male,79
Female,25
Male,67
Male,37
Female,44
Female,36
Male,17
Male,50
Male,53
Female,39
Female,71
Female,18
Male,55
Male,52
Female,27
Male,24
Male,72
Male,41
Female,29
Female,26
Female,23
Male,43
Female,43
Female,49
Male,13
Female,26
Female,10
Male,39
Female,41
Male,25
Male,10
Female,54
Male,7
Female,53
Female,55
Male,6
Female,72
Female,42
Male,50
Female,55
Female,47
Male,3
Female,49
Female,12
Male,28
Male,40
Male,55
Male,9
Female,77
Male,18
Male,73
Female,67
Male,58
Female,2
Female,38
Male,5
Female,34
Male,78
Female,57
Female,17
Female,71
Female,19
Male,56
Male,64
Male,13
Male,40
Male,80
Female,62
Male,79
Female,9
Female,77
Female,26
Male,1.72
Male,16
Female,40
Male,46
Male,45
Female,59
Female,31
Female,69
Male,73
Female,56
Female,80
Female,60
Female,40
Female,30
Female,66
Male,78
Female,37
Female,41
Female,34
Female,18
Male,69
Male,67
Male,28
Female,3
Female,57
Male,34
Male,50
Male,55
Male,2
Female,27
Male,57
Female,73
Female,52
Female,65
Male,48
Male,54
Male,8
Male,45
Female,48
Female,77
Female,34
Female,33
Male,39
Male,39
Male,40
Female,46
Female,1
Female,5
Male,14
Female,49
Female,45
Female,13
Female,76
Male,14
Female,20
Female,9
Female,78
Male,49
Female,55
Female,43
Female,16
Male,58
Male,67
Female,71
Male,8
Female,18
Female,47
Male,59
Male,28
Female,20
Male,67
Male,71
Female,56
Female,44
Female,6
Female,78
Female,32
Female,40
Female,63
Male,51
Male,22
Female,82
Female,17
Female,34
Male,42
Female,32
Male,73
Female,47
Female,34
Male,64
Male,52
Male,49
Male,55
Female,64
Male,23
Male,18
Female,65
Male,12
Female,61
Male,66
Male,59
Male,47
Female,47
Female,71
Male,62
Female,28
Female,7
Female,68
Male,37
Female,75
Male,5
Male,1.08
Female,34
Male,49
Female,8
Female,50
Male,2
Female,1.16
Female,76
Male,18
Male,82
Female,67
Female,27
Male,57
Female,51
Male,68
Female,56
Male,77
Female,52
Female,18
Female,63
Female,31
Female,37
Female,64
Male,47
Female,1.8
Male,42
Male,37
Female,69
Female,13
Male,73
Male,48
Female,78
Female,21
Male,54
Male,43
Male,19
Female,82
Female,80
Female,69
Female,21
Female,46
Female,14
Male,6
Female,3
Male,47
Male,34
Female,41
Female,67
Female,5
Male,20
Female,63
Female,73
Male,62
Male,0.88
Male,50
Male,71
Female,30
Female,80
Female,64
Male,7
Female,36
Male,79
Female,35
Female,28
Male,72
Female,12
Male,25
Female,27
Female,62
Male,58
Female,30
Male,56
Female,28
Male,47
Female,16
Female,29
Male,26
Female,26
Male,55
Female,29
Female,29
Female,33
Female,19
Female,10
Female,3
Female,60
Female,16
Male,35
Female,41
Female,19
Female,79
Female,41
Male,1.64
Female,51
Female,33
Female,33
Male,48
Male,45
Female,61
Male,31
Male,60
Male,51
Male,53
Male,52
Female,42
Female,56
Male,14
Female,40
Female,58
Female,52
Male,30
Female,47
Female,34
Female,82
Female,31
Female,58
Female,47
Male,65
Female,13
Male,37
Male,9
Female,7
Female,37
Male,62
Male,14
Female,77
Male,36
Female,3
Male,78
Female,49
Male,44
Male,10
Male,8
Female,60
Female,56
Female,73
Female,65
Female,34
Male,13
Female,80
Male,46
Female,80
Female,65
Female,24
Female,33
Male,11
Female,57
Female,19
Male,82
Female,39
Female,14
Female,60
Female,3
Female,57
Male,79
Female,65
Female,67
Female,60
Female,36
Male,36
Female,26
Male,71
Male,78
Male,77
Male,74
Female,50
Male,9
Male,1.64
Female,54
Male,8
Female,36
Female,38
Female,34
Female,7
Female,5
Male,14
Male,0.88
Female,30
Female,39
Female,17
Female,14
Female,52
Male,78
Female,2
Male,32
Male,0.88
Female,50
Female,48
Male,66
Male,78
Male,46
Female,54
Female,81
Female,15
Male,77
Female,59
Female,48
Male,76
Male,49
Female,44
Female,39
Male,34
Male,50
Male,62
Female,38
Female,43
Male,28
Female,58
Male,28
Male,18
Male,62
Male,31
Male,55
Female,54
Male,73
Male,26
Male,73
Female,38
Male,75
Male,81
Female,20
Female,12
Male,78
Female,42
Female,71
Male,16
Male,4
Male,79
Male,60
Female,45
Male,23
Male,21
Female,67
Male,10
Female,24
Male,50
Male,79
Male,14
Female,13
Male,71
Female,66
Male,32
Male,46
Male,48
Female,45
Male,55
Female,31
Male,25
Male,73
Female,14
Female,56
Male,60
Male,27
Female,28
Male,46
Female,11
Female,63
Female,59
Male,57
Female,35
Male,54
Male,7
Female,48
Male,69
Male,59
Female,72
Male,49
Female,73
Female,24
Male,26
Male,27
Female,78
Female,77
Female,59
Male,0.32
Male,39
Female,35
Male,54
Female,75
Female,80
Female,35
Female,22
Male,39
Male,6
Female,62
Female,13
Male,56
Male,53
Male,5
Female,44
Male,13
Female,59
Female,35
Female,52
Female,76
Female,51
Female,79
Female,69
Female,78
Male,60
Male,10
Male,42
Male,21
Female,56
Male,59
Female,69
Female,25
Male,63
Male,25
Female,58
Female,28
Female,46
Male,53
Female,37
Male,12
Female,14
Female,60
Male,42
Female,65
Male,80
Male,32
Female,53
Female,50
Female,23
Female,45
Female,0.8
Male,49
Male,70
Female,82
Male,23
Female,79
Female,74
Male,78
Female,50
Female,34
Male,47
Female,52
Female,67
Female,62
Female,18
Female,75
Female,42
Male,29
Male,52
Female,18
Male,67
Female,66
Male,5
Female,18
Male,52
Female,44
Male,46
Female,36
Female,61
Female,7
Female,15
Male,61
Male,20
Female,2
Male,47
Female,25
Male,66
Male,2
Female,63
Female,53
Female,33
Female,23
Female,23
Female,81
Male,55
Female,69
Male,58
Female,70
Female,48
Male,15
Male,31
Female,2
Male,80
Female,69
Female,52
Male,80
Male,54
Female,2
Male,39
Female,38
Male,76
Female,45
Female,1.24
Female,77
Female,46
Female,50
Female,52
Female,73
Male,41
Female,40
Female,59
Male,48
Female,42
Female,26
Male,39
Female,34
Female,54
Female,57
Female,1.56
Female,50
Female,64
Male,44
Male,38
Male,32
Male,17
Male,81
Male,15
Female,5
Male,70
Male,52
Female,67
Female,17
Male,61
Female,31
Male,58
Female,12
Female,30
Female,65
Female,23
Male,14
Male,27
Female,53
Female,58
Male,9
Male,59
Female,46
Female,41
Male,55
Female,43
Female,5
Male,15
Female,36
Female,36
Female,47
Female,18
Male,19
Male,65
Male,17
Male,54
Female,46
Female,59
Female,48
Female,38
Female,18
Female,56
Male,3
Female,41
Female,67
Female,60
Female,47
Female,24
Male,43
Female,17
Female,45
Female,24
Female,79
Male,79
Female,27
Male,72
Male,64
Female,34
Female,50
Female,58
Male,26
Female,50
Female,80
